Key	Value
在拆迁建筑时，正忍不住神游天外	Demolishing buildings; can't help but daydream
选择生长程度	Select its growth.
\n灵气：{0:N0}({1:N0})	\nQi: {0:N0} ({1:N0})
布	Fabric
游戏数据校验错误,请联系客服进行处理	Game data verification error, please contact Customer Service for assistance
在照顾别人之时，正感觉有点无聊	Cares for someone; feels a bit bored
她	she
建造数量:{0}/{1}	Buildings: {0}/{1}
脸部伤痕	Facial scarring
接受治疗	Accepting Healing
载入场景数据	Loading map data
任 意	Any
收益加成	Extra bonus
留下这个角色	Keep this character.
影响建筑速度，建筑受伤时的概率等。	Mempengaruhi kecepatan dan kemungkinan cedera selama pekerjaan konstruksi.
拾取	Collect
\n使用模组:	\nMods:
在建筑工作之时，正在胡思乱想	Constructing; distracted by thoughts
籍籍无名	Unknown
被焦虑之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时焦躁惶恐而急进难安，因此御器技能突破极限4级，术法技能，护体技能降低3级。	Troubled by anxiety. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be too anxious to think before they act. Breakthroughs 4 levels of Artifact Mastery, and lowers 3 levels of Spell and Protection.
剩余时间：	Time remain:
[color=#006600](最新)[/color] 	[color=#006600](Up-to-date)[/color] 
正在加载支付信息...	Loading payment information...
选择研习弟子	Select a disciple to study
阳寿已尽	Deceased
灵气：{0}\n	Qi: {0}\n
请选择一个可以赋灵的物品	Select an item to endow it with spirit.
炼化增补 	Refining Supplement 
{0:N0}秒	{0:N0} Sec
玩耍	Playing
他	he
气感	Qi Sense
当前品阶：{1} 幽淬成功率：{0} {2}	Current Tier: {1} Specter Refinement Success Rate: {0} {2}
登陆失败，请退出游戏并确认否正确登录了Google Play Games相关服务!	Login Failed. Please exit the game and verify that you have correctly logged into Google Play Games services!
植物	Plant
建立物品的使用者目前已被社群封锁	The user of the created item has been banned from the group.
在照顾别人时，正快乐的哼着小调	Cares for someone while humming a cheerful tune
正处于{0}！\n剩余时间：{1}天	In {0}! \nRemaining Days: {1} d
当前阵图节点数过少，无法保存	The plan has too few nodes. Unable to save.
等物品	Items
雅艺	Artisanry
神修在心境为“静”时，心境会匀速自然提高，不收任何外部条件影响。	When the mental state is 'steady', it will be naturally raised at a steady pace, not affected by outside factors.
肥加	Chubby Add
移动	Move
离开	Leave
赎金在这里	Here's the ransom money.
这个动物由修行者夺舍而来，觉醒灵智以后会迎来最严格的化形天劫，是否确定觉醒灵智	This animal was possessed by a cultivator. Once awakened intelligence, it will face the harshest Shapeshifting Tribulation. Are you sure you want to awaken its intelligence?
等待建造完成。	Wait until the construction is complete.
正派	Just Sect
选择阵法人选	Select characters for the formation.
境界进阶	Advance State
等待	Wait
[玄门秘籍]	[Orthodox Manual]
请检查网络是否正常连接Steam社区	Check whether you are connected to Steam.
随机高级矿石	Randomize Advanced Ores
该物品不能用于绘制符咒	This item cannot be used to draw a talisman.
{0} {1:F0}岁 {2}	{0}{1:F0} y/o{2}
真炁	True Qi
生成星辰日月	Generating the heavens
获取玩家信息	Get Player Info
通灵时间：{0:f2}天\n	Illuminated time: {0:f2} days\n
材料	Material
[作者]\r\n	[Author]\r\n
弟子	Disciple
[color=#FF0000]该建筑升级需要达到{0}信仰人口[/color]	[color=#FF0000]To upgrade this building, the population of believers needs to reach {0}.[/color]
角色	Character
狩猎这个动物并进行屠宰	Hunt this animal and butcher it.
文件存在	File Exists
全部	All
敲钟	Toll Bell
师父:	Master:
加载查看移除信息有问题！报错：{0}	Loading removed information! Error code: {0}
她的	her
增加	increased
精怪化形	Shapeshifted Sentient Spirit
有些问题似乎怎么都没办法想明白。	There are still questions left unanswered.
心境中正	Stable
提高道行: {0}\n	Attainment: +{0}\n
午时,日中之时,正午之时,响午时分	It is about 11:00–13:00, the lunch bells chime to roaring laughter
{0}的攻击	{0}'s attack
{0:F0}秒	{0:F0} sec
耐药性：{0:P2}\n	Medicine Resistance: {0:P2}\n
defName=>{0} npc.name=>{1} 随机删除的耐性数据为=>{2} {3}	defName=>{0} npc.name=>{1} randomly deleted resistance data is=>{2} {3}
通过在地图环境中选择特定环境解锁。	Select specific environment in map to unlock.
文中含有敏感词汇，请斟酌后重书。	This contains sensitive words. Please rewrite and try again.
较多的	Significantly
下载存档:{0}结果为:{1}	Downloading Save File: {0} Result: {1}
驱动建筑	Activate Building
{0}习得战斗姿态：[{1}]\n{2}	{0} learned Battle Stance: [{1}]\n{2}
上古阵法图鉴需要玩家结成完整的上古阵法来点亮。	To unlock the contents of Ancient Formation Encyclopedia, you need to form the complete respective formations.
仅内门	Only Inner disciples
在砍柴间余，正小憩片刻	Splitting firewood; taking a break
请取消该MOD在WEGAME上的审核状态，审核中的MOD无法进行修改编辑	Cancel this mod's 'Verification Status' on WeGame. Mods still under verification cannot be edited.
取出数量：{0}	How many to be withdrawn: {0}
此阵法之名已流传千古，切不可随意更名！	The name of this formation has been handed down for thousands of years. You must not rename it at will
{3}消耗信仰：{0}/{5:F0}{4}\n神民：+{1}   神性：+{2:F2}%   {6}信仰程度：+{7:P2}	{3}Belief Cost{0}/{5:F0}{4}\nResidents: +{1}   Divinity: +{2:F2}%   {6}Extent of Belief: +{7:P2}
风水加成	Feng Shui
隐匿气息，降低被发现的概率。\n离开隐匿需要五秒。	Hide presence to lower the chance of being discovered. \nTakes 5 sec to undo hiding.
ui状态异常，请关闭ui再次打开	Unable to load the UI. Please close and open it again.
技能等级上限	Skill Level Cap
裁缝	Sew Clothes
{0}\n堂主：{1}\n\n专精：{2}\n{3}	{0}\nBranch Leader: {1}\n\nExpertise: {2}\n{3}
选择称号	Choose Title
标记区域	Marked Area
大吉	Very Auspicious
法宝	Artifact
极小的	Tiny
\n[color=#B65704]地形需求[/color]	\n[color=#B65704]Terrain Requirements[/color]
精力	Energy
非常满意	Satisfactory
无心锻造，正想找个机会划划水	Slacking; doesn't want to forge
请选择正确的文件夹	Select a correct folder
聚气	Qi Gathering
请输入存档名	Choose a name for your save.
火	Fire
中等	Medium
道	Creed
生成随机角色。	Generate random character.
处事等级:{0}({1})	Social level: {0}({1})
神民:{0}\n{1}	Divine Residents: {0}\n{1}
正在进行中，不能修改原材料。	In progress. Raw material cannot be changed.
持续	Always
非常抱歉！存档读取失败。\n愤怒的您可能会责怪开发团队，您的确有理由这样做，这本不应该发生。\n我们非常抱歉！请尝试检查你的模组配置或者读取旧的存档。\n如果需要支持或者报告问题，请发送邮件至:\nQA@GSQStudio.com。	Sorry! Loading failed. \nYou might want to rage and blame us developers at the moment, and we understand you as this shouldn't have happened. \nSorry! Please try to check your mods configuration or load an old save. \nIf you need help or wish to report an issue, please contact us at \nQA@GSQStudio.com.
{0}{1:F0}  {2}等级\n	{0}{1:F0}  {2}Lv\n
(成长中)	(Growing)
五行：相克\n	Five Elements: Counteractive\n
{0}从{1}口中得到一个线索：\n{2}	{0} got an evidence from {1}: \n{2}.
[color=#880000](模组版本不符:v{0})[/color]	[color=#880000](Wrong mod version: v{0})[/color]
在种植时，正快乐的哼着小调	Farming while humming a cheerful tune
地图种子	Map Seed
全部秘籍	All Manuals
城市稳定度：{0}\n主流代理势力：{1}	City Stability: {0}\nMain Agency Power: {1}
上传	Upload
该建筑正忙	This building is occupied.
模组文件已经上传成功！	Mod file uploaded!
没有多余的个数	No excess.
闻名遐迩	Distinguished
加满一个神修的神民	Maximize a pantheon cultivator's Divine Residents.
{7}<font color=#D06508>[物体]</font>\n灵气：{1:N0}（{5}{6:N2}/秒）\n聚灵：{4} {9}\n美观：{0}\n品阶：{3}\n品质：{2}{10}{8}{11}	{7}<font color=#D06508>[Item]</font>\nLingQi: {1:N0}（{5}{6:N2}/Sec）\nQi Gather: {4} {9}\nScenery: {0}\nTier: {3}\nQuality: {2}{10}{8}{11}
地点	Location
位于炉灶之侧	and Located next to the Stove
矿物	Mineral
已死亡!	Dead!
收获:{0}	Gather: {0}
轮回者：{0} \n缺少描述，无法保存	Reincarnator: {0} \nLack in description and cannot be saved.
正专心移除工作	Concentrating on removing something
开始读取	Start Loading
\n拥有者: {0}	\nOwner: {0}
即将完成	Almost complete
只能在游戏内取出哦！	Can only be retrieved in-game!
被自弃之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时自暴自弃而奋不顾死，因此御器技能突破极限2级，术法技能突破极限2级，护体技能降低5级。	Ready to give up. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will give up hope, thus risking everything they have. Breakthroughs 2 levels of Artifact Mastery and Spell, and lowers 5 levels of Protection.
突破时正在生效成功率造成影响的附加效果，例如丹药、奇遇等等。	Additional effects during breakthrough increase the success rate, e.g. Elixirs, Fortuitous Adventure, etc.
昨天	Yesterday
模组文件已经上传成功！\n请勿修改并妥善保管当前上传模组文件下的Info文件，用于更新该模组！	Mod file uploaded!\nPlease do not modify the .info file of the uploaded mod and keep it for future update of this mod.
{0:F0}度/秒	{0:F0}°/sec
现在退出未保存的数据将丢失	If you quit now, unsaved progress will be lost.
打包	Packing Up
思绪片段({0}/{1})	Thought Shard ({0}/{1})
☯[size=13]此物通灵，可泽被房间内角色：[/size]\n	☯[size=13]It is a spiritual item. It can nourish the character(s) in the room: [/size]\n
土	Earth
不擅	Inept
当前灵性	Blessing
护盾相关	Barrier Related
在照顾别人之时，突然心烦意乱	Cares for someone; feels upset all of a sudden
模组数据不匹配，我们无法保证存档数据的正确性，请返回主界面进行读取操作。	Incompatible mod data. We cannot ensure the save will function properly. Please return to the main menu and load mod data.
让代理人落实政策。政策期间会发生对应事件，不同手段处理会有不同结果，直接影响此地的信众、总人口、我方代理的吸引力，以及其他门派的势力。不采取政策，信众则会认为代理人不作为，每日损失信众。	Ask the agent to implement the policy. Corresponding events will happen during the implementation of policy. Different methods will lead to different results, directly affecting the followers, population, our agency's appeal and other sects' power. If no policy is implemented, the followers will consider the agent irresponsible, and you will lose followers each day.
需求境界：{0}\n	Required State: {0}\n
建筑是发展门派的核心内容。使用主材料的不同，建筑也会拥有不同的属性，并以此来影响周围的环境。\n例如：寒晶锭建造的建筑，会使周围的水属性增多。	Structures are the core of developing a sect. A building's attribute depends on the main material used in the construction, and its attribute also affects the surrounding environment.\nFor example, a structure made from Ice Crystal Bars will increase the surrounding Water attribute.
启用	Enable
(永久)	(Permanently)
删除该建筑。	Delete this building.
被击	attacked
触发对象别名	Trigger Target Alias
痛感	Pain
离山时状态	Status (Out in World)
远离炼丹炉	and Away from the Alchemy Furnace
{0}境(剩余:{1:F0}秒)	{0} State (Remaining: {1:F0} sec)
参悟	Inspiration
行商{0}受人所托，愿使用{1}换取一个{2}	Traveling Merchant {0} has been tasked to exchange a {2} with {1}.
你接受了该任务	You have accepted the quest.
RPG模式设置相关信息。	Relevant settings in RPG mode.
阴神夺舍	Yin God Possession
白布	White Fabric
悲悯	Sympathetic
